name,parent,swap
zx1,,
zx2,zx1,
zx3,zx2,
zx4,zx3,
zx5,zx4,
zx6,zx5,
zx7,zx6,
yz1,,
yz2,yz1,
yz3,yz2,
yz4,yz3,
yz5,yz4,
yz6,yz5,
yz7,yz6,
led,,
zx_corner1,zx_corner4,
zx_corner2,zx_corner1,
zx_corner3,zx_corner2,
zx_corner4,zx_corner3,
yz_corner1,yz_corner4,
yz_corner2,yz_corner1,
yz_corner3,yz_corner2,
yz_corner4,yz_corner3,
